timestamp,world_index,world_index_corrected,x,y,z
0.011849464,0,0,2.89333776,-0.27658095,-1.48153032
0.026824316,0,0,2.89301876,-0.27619772,-1.48215087
0.049254683,1,1,2.89250170,-0.27601939,-1.48218607
0.071814104,2,2,2.89193922,-0.27613503,-1.48191639
0.086730519,2,2,2.89135514,-0.27663420,-1.48176525
0.109355854,3,3,2.89084068,-0.27700895,-1.48137864
0.131803952,4,4,2.89029081,-0.27736104,-1.48142630
0.154208107,4,4,2.88987058,-0.27782551,-1.48174348
0.169287185,5,5,2.88970788,-0.27822113,-1.48140354
0.194510651,5,5,2.88977028,-0.27903346,-1.48156867
0.214204789,6,6,2.88983685,-0.28059065,-1.48207513
0.229402317,6,6,2.88988912,-0.28138051,-1.48276885
0.251645033,7,7,2.89048153,-0.28181775,-1.48402741
0.275073212,8,8,2.89107431,-0.28244630,-1.48473475
0.297136790,9,9,2.89167788,-0.28288238,-1.48538304
0.311690301,9,9,2.89236945,-0.28251681,-1.48579540
0.334151176,10,10,2.89272895,-0.28176925,-1.48612264
0.349318699,10,10,2.89276305,-0.28140702,-1.48679063
0.372043860,11,11,2.89264612,-0.28167950,-1.48612217
0.394593094,11,11,2.89245650,-0.28207754,-1.48437326
0.409465990,12,12,2.89237346,-0.28239509,-1.48335243
0.432658712,13,13,2.89236532,-0.28316304,-1.48307293
0.454261344,13,13,2.89212349,-0.28440605,-1.48252303
0.469281979,14,14,2.89212278,-0.28538920,-1.48116276
0.491710066,14,14,2.89210944,-0.28654157,-1.47977879
0.514412635,15,15,2.89234206,-0.28796405,-1.47839625
0.529396636,15,15,2.89257579,-0.28919456,-1.47756566
0.552041147,16,16,2.89266729,-0.29084335,-1.47657029
0.574427638,17,17,2.89261473,-0.29195053,-1.47553720
0.589641188,17,17,2.89313862,-0.29275242,-1.47471969
0.611848310,18,18,2.89418598,-0.29342073,-1.47329508
0.634449190,18,19,2.89538231,-0.29403360,-1.47155452
0.649445936,18,19,2.89641686,-0.29523451,-1.47023809
0.671759762,18,20,2.89746740,-0.29619377,-1.47062783
0.694334124,18,20,2.89840706,-0.29622091,-1.47279036
0.709367053,18,21,2.89946395,-0.29614286,-1.47498891
0.731742882,18,22,2.89998284,-0.29634557,-1.47504228
0.754289237,18,22,2.90031262,-0.29644731,-1.47270472
0.769412041,18,23,2.90080891,-0.29613022,-1.47062551
0.791867390,19,23,2.90122602,-0.29624713,-1.46997140
0.814349302,19,24,2.90111231,-0.29743018,-1.47032954
0.830176753,19,24,2.90064573,-0.29883244,-1.46963730
0.852138051,19,25,2.90024339,-0.29939072,-1.46844649
0.875342053,19,26,2.90076957,-0.29865981,-1.46809601
0.889505341,19,26,2.90155221,-0.29728842,-1.46742690
0.913929621,19,27,2.90212054,-0.29583309,-1.46761318
0.935395309,19,27,2.90201688,-0.29514349,-1.46777312
0.951556233,19,28,2.90151577,-0.29405226,-1.46686891
0.973018445,19,28,2.90134420,-0.29260259,-1.46570759
1.002381864,21,30,2.90136700,-0.29149846,-1.46532635
1.009735404,21,30,2.90122299,-0.29117343,-1.46481815
1.031604240,21,30,2.90131305,-0.29092919,-1.46415921
1.054455480,22,31,2.90191062,-0.29081953,-1.46391656
1.069265730,23,32,2.90287937,-0.29075274,-1.46451071
1.091768706,23,32,2.90401230,-0.29086653,-1.46510712
1.114419842,24,33,2.90510824,-0.29148736,-1.46563659
1.129592783,24,33,2.90635807,-0.29248049,-1.46622945
1.152091663,25,34,2.90789157,-0.29357376,-1.46694486
1.174654184,26,35,2.90954766,-0.29463076,-1.46794503
1.189578232,26,35,2.91150174,-0.29597662,-1.46922414
1.211807877,27,36,2.91339309,-0.29780142,-1.47087628
