timestamp,world_index,world_index_corrected,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
-3.415606,0,0,1.000000,0.270825,0.550429,121.692963,3d c++,173.328126,215.793925,70.638728,121.692963,22.815016,5.098635,0.788981,23.000000,1.074755,2.350308,34.937585,12.000000,-6.253049,-1.065853,26.070053,-0.610650,-0.284680,-0.738961,2.549317,1.282124,-2.261407,339.072522,281.708413,425.902361,425.902361,90.000000
-3.406750,0,0,1.000000,0.270916,0.550465,121.852640,3d c++,173.386462,215.776613,70.762508,121.852640,22.827213,5.104932,0.788987,23.000000,1.074755,2.350308,34.937585,12.000000,-6.250372,-1.066652,26.068148,-0.610427,-0.284747,-0.739120,2.552466,1.282054,-2.261122,339.072522,281.708413,425.902361,425.902361,90.000000
-3.399578,0,0,1.000000,0.271005,0.550468,121.858331,3d c++,173.443463,215.775469,70.804633,121.858331,22.834394,5.104697,0.789100,23.000000,1.074755,2.350308,34.937585,12.000000,-6.247408,-1.066620,26.065690,-0.610180,-0.284744,-0.739325,2.552349,1.282057,-2.260787,339.072522,281.708413,425.902361,425.902361,90.000000
-3.387505,0,0,1.000000,0.271232,0.550473,121.863390,3d c++,173.588440,215.772978,70.906525,121.863390,22.852544,5.103704,0.789311,23.000000,1.074755,2.350308,34.937585,12.000000,-6.239855,-1.066516,26.059421,-0.609551,-0.284735,-0.739847,2.551852,1.282066,-2.259934,339.072522,281.708413,425.902361,425.902361,90.000000
-3.377266,0,0,1.000000,0.271344,0.550366,122.009089,3d c++,173.660212,215.824279,71.051672,122.009089,22.846487,5.109025,0.789441,23.000000,1.074755,2.350308,34.937585,12.000000,-6.236144,-1.064319,26.055520,-0.609242,-0.284552,-0.740172,2.554512,1.282257,-2.259470,339.072522,281.708413,425.902361,425.902361,90.000000
-3.371587,0,0,1.000000,0.271436,0.550367,121.722474,3d c++,173.719288,215.823828,70.932576,121.722474,22.853387,5.096482,0.789550,23.000000,1.074755,2.350308,34.937585,12.000000,-6.232537,-1.064003,26.052430,-0.608941,-0.284526,-0.740430,2.548241,1.282284,-2.259057,339.072522,281.708413,425.902361,425.902361,90.000000
-3.363571,0,0,1.000000,0.271549,0.550521,122.133522,3d c++,173.791642,215.749796,71.189817,122.133522,22.884047,5.113456,0.789729,23.000000,1.074755,2.350308,34.937585,12.000000,-6.229853,-1.067448,26.051548,-0.608717,-0.284813,-0.740503,2.556728,1.281985,-2.258828,339.072522,281.708413,425.902361,425.902361,90.000000
-3.355616,0,0,1.000000,0.271427,0.550352,122.211530,3d c++,173.713277,215.831007,71.202757,122.211530,22.851161,5.117066,0.789892,23.000000,1.074755,2.350308,34.937585,12.000000,-6.233717,-1.064124,26.053448,-0.609039,-0.284536,-0.740345,2.558533,1.282274,-2.259192,339.072522,281.708413,425.902361,425.902361,90.000000
-3.347566,0,0,1.000000,0.271514,0.550161,122.126488,3d c++,173.769178,215.922762,71.220255,122.126488,22.831182,5.112655,0.790076,23.000000,1.074755,2.350308,34.937585,12.000000,-6.230230,-1.060005,26.048999,-0.608749,-0.284193,-0.740716,2.556328,1.282632,-2.258712,339.072522,281.708413,425.902361,425.902361,90.000000
-3.339574,0,0,1.000000,0.271603,0.550306,122.188834,3d c++,173.826109,215.853302,71.274124,122.188834,22.858255,5.115078,0.790175,23.000000,1.074755,2.350308,34.937585,12.000000,-6.227690,-1.062974,26.048052,-0.608537,-0.284440,-0.740794,2.557539,1.282374,-2.258490,339.072522,281.708413,425.902361,425.902361,90.000000
