timestamp,world_index,world_index_corrected,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
0.006909,2498,2542,0.931145,0.240114,0.567581,115.309542,3d c++,153.673086,207.561168,50.406170,115.309542,20.733029,4.870853,0.951787,121.000000,1.393259,2.021580,34.012992,12.000000,-7.118140,-1.409720,26.281092,-0.709283,-0.285942,-0.644325,2.435426,1.280807,-2.404147,345.396789,276.850031,437.479892,437.479892,90.000000
0.016185,2498,2542,0.985151,0.240025,0.567125,114.563525,3d c++,153.616279,207.780125,50.124906,114.563525,20.670638,4.838795,0.951829,121.000000,1.393259,2.021580,34.012992,12.000000,-7.118724,-1.399743,26.277316,-0.709332,-0.285110,-0.644640,2.419398,1.281675,-2.403938,345.396789,276.850031,437.479892,437.479892,90.000000
0.024876,2498,2542,0.993669,0.239968,0.567253,114.768942,3d c++,153.579641,207.718719,50.153588,114.768942,20.683093,4.848266,0.951877,121.000000,1.393259,2.021580,34.012992,12.000000,-7.121695,-1.402705,26.281897,-0.709580,-0.285357,-0.644258,2.424133,1.281417,-2.404406,345.396789,276.850031,437.479892,437.479892,90.000000
0.033922,2498,2542,1.000000,0.239969,0.566609,114.891340,3d c++,153.579989,208.027726,50.311542,114.891340,20.603736,4.851918,0.951940,121.000000,1.393259,2.021580,34.012992,12.000000,-7.119768,-1.389207,26.273813,-0.709419,-0.284232,-0.644932,2.425959,1.282591,-2.403774,345.396789,276.850031,437.479892,437.479892,90.000000
0.038937,2498,2542,1.000000,0.240010,0.566071,115.386264,3d c++,153.606374,208.285899,50.628458,115.386264,20.540194,4.871309,0.952000,121.000000,1.393259,2.021580,34.012992,12.000000,-7.117301,-1.378134,26.266231,-0.709213,-0.283310,-0.645563,2.435655,1.283553,-2.403142,345.396789,276.850031,437.479892,437.479892,90.000000
0.053916,2498,2542,1.000000,0.239758,0.565497,115.618956,3d c++,153.445102,208.561637,50.669310,115.618956,20.454009,4.881790,0.952113,121.000000,1.393259,2.021580,34.012992,12.000000,-7.125466,-1.366690,26.270193,-0.709894,-0.282356,-0.645233,2.440895,1.284547,-2.403874,345.396789,276.850031,437.479892,437.479892,90.000000
0.071075,2498,2542,1.000000,0.239840,0.565292,115.694321,3d c++,153.497286,208.659975,50.782878,115.694321,20.433675,4.883859,0.952122,121.000000,1.393259,2.021580,34.012992,12.000000,-7.121817,-1.362266,26.264247,-0.709590,-0.281987,-0.645729,2.441930,1.284932,-2.403278,345.396789,276.850031,437.479892,437.479892,90.000000
0.074900,2498,2542,0.978933,0.239711,0.565066,115.158121,3d c++,153.415292,208.768557,50.524103,115.158121,20.397447,4.861586,0.952107,121.000000,1.393259,2.021580,34.012992,12.000000,-7.125034,-1.357375,26.265648,-0.709858,-0.281580,-0.645612,2.430793,1.285356,-2.403556,345.396789,276.850031,437.479892,437.479892,90.000000
0.082920,2498,2542,0.967555,0.239739,0.565157,115.824087,3d c++,153.432991,208.724515,50.798451,115.824087,20.411052,4.889834,0.952168,121.000000,1.393259,2.021580,34.012992,12.000000,-7.125448,-1.359722,26.267127,-0.709892,-0.281775,-0.645489,2.444917,1.285153,-2.403676,345.396789,276.850031,437.479892,437.479892,90.000000
0.090953,2498,2542,1.000000,0.239617,0.564503,115.527481,3d c++,153.355104,209.038337,50.712415,115.527481,20.322492,4.876661,0.952285,121.000000,1.393259,2.021580,34.012992,12.000000,-7.127456,-1.345981,26.263351,-0.710060,-0.280630,-0.645803,2.438331,1.286346,-2.403550,345.396789,276.850031,437.479892,437.479892,90.000000
